月份,日,商品名称,类别,单价,销量,销售额
2024-02,1,饮料11号,饮料,11.55,1,11.42
2024-02,1,乳制品11号,乳制品,3.86,4,15.16
2024-02,1,个护9号,个护,7.36,1,7.05
2024-02,1,文具4号,文具,8.17,5,39.35
2024-02,1,调味品11号,调味品,58.26,4,244.11
2024-02,1,乳制品1号,乳制品,46.73,2,95.59
2024-02,1,调味品3号,调味品,25.48,5,116.97
2024-02,1,调味品12号,调味品,15.25,3,42.11
2024-02,1,速食2号,速食,16.52,3,47.73
2024-02,1,零食2号,零食,58.96,3,160.54
2024-02,1,饮料6号,饮料,37.01,1,35.27
2024-02,1,速食4号,速食,3.3,2,6.54
2024-02,1,乳制品5号,乳制品,27.79,4,118.96
2024-02,1,调味品1号,调味品,20.54,1,19.06
2024-02,1,零食6号,零食,39.89,4,149.15
2024-02,1,饮料9号,饮料,32.66,3,96.9
2024-02,1,文具11号,文具,31.57,1,29.53
2024-02,1,饮料12号,饮料,55.1,2,118.02
2024-02,1,文具3号,文具,20.78,3,60.37
2024-02,1,饮料1号,饮料,43.95,1,45.52
2024-02,1,文具12号,文具,25.87,3,83.32
2024-02,1,饮料6号,饮料,37.01,2,69.76
2024-02,1,调味品1号,调味品,20.54,5,112.86
2024-02,1,文具1号,文具,3.76,3,11.02
2024-02,1,调味品8号,调味品,27.89,4,100.6
2024-02,1,日用品2号,日用品,53.81,4,228.73
2024-02,1,乳制品3号,乳制品,4.23,5,23.14
2024-02,1,文具1号,文具,3.76,4,14.39
2024-02,1,零食8号,零食,44.44,5,229.1
2024-02,1,个护2号,个护,15.48,2,28.08
2024-02,1,饮料13号,饮料,25.77,3,80.87
2024-02,1,个护13号,个护,58.62,2,114.91
2024-02,1,零食1号,零食,45.66,2,82.97
2024-02,1,速食5号,速食,14.69,3,46.99
2024-02,1,乳制品7号,乳制品,8.41,2,15.49
2024-02,1,零食8号,零食,44.44,4,166.55
2024-02,1,饮料2号,饮料,29.35,4,126.43
2024-02,1,个护4号,个护,33.06,1,35.98
2024-02,1,文具5号,文具,23.87,4,88.41
2024-02,1,乳制品6号,乳制品,55.96,3,153.4
2024-02,1,个护6号,个护,34.11,1,33.64
2024-02,2,调味品9号,调味品,33.95,1,31.6
2024-02,2,日用品7号,日用品,10.83,4,40.24
2024-02,2,日用品5号,日用品,40.97,2,75.19
2024-02,2,个护12号,个护,21.5,4,80.43
2024-02,2,乳制品5号,乳制品,27.79,3,78.84
2024-02,2,乳制品10号,乳制品,8.89,4,33.62
2024-02,2,个护1号,个护,51.19,1,48.7
2024-02,2,调味品3号,调味品,25.48,3,82.21
2024-02,2,饮料2号,饮料,29.35,2,63.59
2024-02,2,速食11号,速食,27.55,4,115.97
2024-02,2,速食12号,速食,53.72,1,54.34
2024-02,2,文具13号,文具,53.37,1,49.04
2024-02,2,个护12号,个护,21.5,2,40.04
2024-02,2,个护2号,个护,15.48,1,15.85
2024-02,2,速食7号,速食,58.91,3,184.06
2024-02,2,调味品4号,调味品,8.44,4,30.8
2024-02,2,饮料13号,饮料,25.77,4,100.43
2024-02,2,零食3号,零食,5.65,3,15.4
2024-02,2,调味品8号,调味品,27.89,4,106.74
2024-02,2,文具11号,文具,31.57,3,100.99
2024-02,2,零食6号,零食,39.89,5,183.84
2024-02,2,零食1号,零食,45.66,2,94.42
2024-02,2,日用品11号,日用品,31.24,5,159.94
2024-02,2,零食7号,零食,40.22,2,85.68
2024-02,2,零食12号,零食,23.18,2,48.04
2024-02,2,饮料5号,饮料,14.32,3,44.42
2024-02,2,日用品7号,日用品,10.83,2,20.64
2024-02,2,个护1号,个护,51.19,3,147.2
2024-02,2,调味品11号,调味品,58.26,1,63.37
2024-02,2,个护1号,个护,51.19,5,274.77
2024-02,2,调味品9号,调味品,33.95,4,122.61
2024-02,2,文具6号,文具,27.32,2,54.55
2024-02,2,饮料5号,饮料,14.32,2,27.39
2024-02,2,零食11号,零食,54.32,5,285.21
2024-02,2,饮料13号,饮料,25.77,4,111.1
2024-02,2,文具10号,文具,46.56,5,250.1
2024-02,2,个护9号,个护,7.36,1,6.78
2024-02,2,调味品8号,调味品,27.89,4,118.24
2024-02,2,速食5号,速食,14.69,1,15.06
2024-02,2,零食3号,零食,5.65,1,5.65
2024-02,2,乳制品5号,乳制品,27.79,2,54.74
2024-02,2,日用品4号,日用品,21.1,5,96.53
2024-02,3,个护5号,个护,6.78,1,6.72
2024-02,3,文具4号,文具,8.17,1,7.42
2024-02,3,个护1号,个护,51.19,4,222.26
2024-02,3,个护4号,个护,33.06,4,144.31
2024-02,3,饮料2号,饮料,29.35,2,54.4
2024-02,3,乳制品7号,乳制品,8.41,3,23.61
2024-02,3,乳制品9号,乳制品,52.36,5,285.13
2024-02,3,文具6号,文具,27.32,5,126.64
2024-02,3,饮料2号,饮料,29.35,1,29.69
2024-02,3,日用品2号,日用品,53.81,2,97.79
2024-02,3,乳制品11号,乳制品,3.86,1,3.72
2024-02,3,乳制品4号,乳制品,41.35,1,41.21
2024-02,3,调味品6号,调味品,25.33,2,45.68
2024-02,3,乳制品3号,乳制品,4.23,5,19.94
2024-02,3,饮料13号,饮料,25.77,3,74.28
2024-02,3,饮料3号,饮料,18.07,3,58.67
2024-02,3,个护12号,个护,21.5,3,66.46
2024-02,3,文具6号,文具,27.32,2,54.22
2024-02,3,零食6号,零食,39.89,5,198.81
2024-02,3,零食12号,零食,23.18,2,41.94
2024-02,3,饮料12号,饮料,55.1,4,218.86
2024-02,3,速食12号,速食,53.72,3,167.57
2024-02,3,个护12号,个护,21.5,3,66.62
2024-02,3,乳制品2号,乳制品,4.08,1,3.67
2024-02,3,饮料7号,饮料,42.03,2,77.65
2024-02,3,饮料11号,饮料,11.55,2,20.92
2024-02,3,速食5号,速食,14.69,1,15.27
2024-02,3,速食12号,速食,53.72,1,57.38
2024-02,3,零食6号,零食,39.89,3,130.25
2024-02,3,调味品7号,调味品,57.03,1,53.45
2024-02,3,日用品3号,日用品,20.72,3,64.68
2024-02,3,饮料3号,饮料,18.07,1,17.97
2024-02,3,饮料6号,饮料,37.01,1,34.07
2024-02,3,日用品1号,日用品,40.93,4,167.07
2024-02,3,零食7号,零食,40.22,5,204.33
2024-02,4,日用品2号,日用品,53.81,4,232.06
2024-02,4,调味品3号,调味品,25.48,3,78.3
2024-02,4,乳制品12号,乳制品,28.99,1,28.14
2024-02,4,速食12号,速食,53.72,5,274.05
2024-02,4,乳制品3号,乳制品,4.23,4,18.42
2024-02,4,饮料6号,饮料,37.01,1,36.57
2024-02,4,乳制品11号,乳制品,3.86,4,14.3
2024-02,4,乳制品12号,乳制品,28.99,3,84.62
2024-02,4,日用品13号,日用品,40.49,4,165.75
