区域,时段,类型,数值
崇德楼,早上,用电量(kWh),67.99
崇德楼,早上,用水量(m³),17.83
崇德楼,早上,网流量(GB),6.56
崇德楼,中午,用电量(kWh),114.54
崇德楼,中午,用水量(m³),35.88
崇德楼,中午,网流量(GB),22.26
崇德楼,晚上,用电量(kWh),96.07
崇德楼,晚上,用水量(m³),38.98
崇德楼,晚上,网流量(GB),36.25
崇德楼,全天,用电量(kWh),507.56
崇德楼,全天,用水量(m³),149.53
崇德楼,全天,网流量(GB),77.77
崇文楼,早上,用电量(kWh),129.79
崇文楼,早上,用水量(m³),10.39
崇文楼,早上,网流量(GB),6.54
崇文楼,中午,用电量(kWh),102.37
崇文楼,中午,用水量(m³),55.76
崇文楼,中午,网流量(GB),32.36
崇文楼,晚上,用电量(kWh),123.3
崇文楼,晚上,用水量(m³),44.79
崇文楼,晚上,网流量(GB),10.02
崇文楼,全天,用电量(kWh),462.46
崇文楼,全天,用水量(m³),80.07
崇文楼,全天,网流量(GB),148.95
实训楼,早上,用电量(kWh),171.07
实训楼,早上,用水量(m³),50.74
实训楼,早上,网流量(GB),6.17
实训楼,中午,用电量(kWh),148.92
实训楼,中午,用水量(m³),28.56
实训楼,中午,网流量(GB),15.37
实训楼,晚上,用电量(kWh),226.63
实训楼,晚上,用水量(m³),42.7
实训楼,晚上,网流量(GB),21.51
实训楼,全天,用电量(kWh),593.16
实训楼,全天,用水量(m³),176.93
实训楼,全天,网流量(GB),37.69
图书馆,早上,用电量(kWh),83.66
图书馆,早上,用水量(m³),26.39
图书馆,早上,网流量(GB),48.17
图书馆,中午,用电量(kWh),91.5
图书馆,中午,用水量(m³),32.11
图书馆,中午,网流量(GB),8.34
图书馆,晚上,用电量(kWh),86.7
图书馆,晚上,用水量(m³),45.52
图书馆,晚上,网流量(GB),33.07
图书馆,全天,用电量(kWh),595.89
图书馆,全天,用水量(m³),131.48
图书馆,全天,网流量(GB),52.91
荷园,早上,用电量(kWh),121.44
荷园,早上,用水量(m³),28.66
荷园,早上,网流量(GB),7.39
荷园,中午,用电量(kWh),85.8
荷园,中午,用水量(m³),28.86
荷园,中午,网流量(GB),35.44
荷园,晚上,用电量(kWh),139.81
荷园,晚上,用水量(m³),47.96
荷园,晚上,网流量(GB),35.11
荷园,全天,用电量(kWh),687.51
荷园,全天,用水量(m³),58.68
荷园,全天,网流量(GB),109.57
梅园,早上,用电量(kWh),68.22
梅园,早上,用水量(m³),38.3
梅园,早上,网流量(GB),25.23
梅园,中午,用电量(kWh),116.28
梅园,中午,用水量(m³),28.82
梅园,中午,网流量(GB),15.27
梅园,晚上,用电量(kWh),70.03
梅园,晚上,用水量(m³),20.56
梅园,晚上,网流量(GB),12.04
梅园,全天,用电量(kWh),321.43
梅园,全天,用水量(m³),130.88
梅园,全天,网流量(GB),140.35
兰园,早上,用电量(kWh),122.43
兰园,早上,用水量(m³),53.32
兰园,早上,网流量(GB),36.91
兰园,中午,用电量(kWh),105.81
兰园,中午,用水量(m³),13.82
兰园,中午,网流量(GB),31.51
兰园,晚上,用电量(kWh),71.72
兰园,晚上,用水量(m³),49.28
兰园,晚上,网流量(GB),11.4
兰园,全天,用电量(kWh),692.53
兰园,全天,用水量(m³),82.44
兰园,全天,网流量(GB),117.9
竹园,早上,用电量(kWh),95.75
竹园,早上,用水量(m³),43.7
竹园,早上,网流量(GB),19.17
竹园,中午,用电量(kWh),38.01
竹园,中午,用水量(m³),50.71
竹园,中午,网流量(GB),37.52
竹园,晚上,用电量(kWh),40.02
竹园,晚上,用水量(m³),33.27
竹园,晚上,网流量(GB),22.66
竹园,全天,用电量(kWh),235.24
竹园,全天,用水量(m³),207.07
竹园,全天,网流量(GB),115.83
菊园,早上,用电量(kWh),63.81
菊园,早上,用水量(m³),53.21
菊园,早上,网流量(GB),37.62
菊园,中午,用电量(kWh),155.75
菊园,中午,用水量(m³),15.94
菊园,中午,网流量(GB),15.86
菊园,晚上,用电量(kWh),115.98
菊园,晚上,用水量(m³),35.96
菊园,晚上,网流量(GB),6.84
菊园,全天,用电量(kWh),229.21
菊园,全天,用水量(m³),66.07
菊园,全天,网流量(GB),67.36
